link,title,site
/world,World,"CNN - Breaking News, Latest News and Videos"
/politics,Politics,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com,Money,"CNN - Breaking News, Latest News and Videos"
/opinions,Opinion,"CNN - Breaking News, Latest News and Videos"
/health,Health,"CNN - Breaking News, Latest News and Videos"
,Turn off," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.nytimes.com/pages/health/index.html,Health,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/sports/index.html,Sports,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/sports/international/index.html,Sports,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/arts/index.html,Arts,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/arts/international/index.html,Arts,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/fashion/index.html,Style,"The New York Times - Breaking News, World News & Multimedia"
//www.foxnewsgo.com,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//radio.foxnews.com,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//nation.foxnews.com,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//foxnewsinsider.com/,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//www.foxnews.com?intcmp=logo,FoxNews.com,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
#,Search,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//www.facebook.com/FoxNews,Fox News Facebook,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//twitter.com/FoxNews,Fox News Twitter,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.huffingtonpost.com/topic/supreme-court,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/congress,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/so-that-happened,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/dept/entertainment,"ENTERTAINMENT
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/entertainment,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
/entertainment,Entertainment,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/technology,Tech,"CNN - Breaking News, Latest News and Videos"
/style,Style,"CNN - Breaking News, Latest News and Videos"
/travel,Travel,"CNN - Breaking News, Latest News and Videos"
//bleacherreport.com,Sports,"CNN - Breaking News, Latest News and Videos"
/videos,Video,"CNN - Breaking News, Latest News and Videos"
/vr,VR,"CNN - Breaking News, Latest News and Videos"
http://cnn.it/go2,Live TV ,"CNN - Breaking News, Latest News and Videos"
https://www.washingtonpost.com," , , "," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
#," Sections , "," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
#," , "," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/politics/,Politics," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.washingtonpost.com/opinions/,Opinions," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.nytimes.com/pages/style/international/index.html,Style,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/dining/index.html,Food,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/dining/international/index.html,Food,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/section/travel,Travel,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/pages/magazine/index.html,Magazine,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/section/t-magazine,T Magazine,"The New York Times - Breaking News, World News & Multimedia"
//plus.google.com/+FoxNews,Fox News Google+,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//www.foxnews.com,Home,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//video.foxnews.com,Video,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/politics.html,Politics,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/us.html,U.S.,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/opinion.html,Opinion,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.huffingtonpost.com/section/comedy,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/celebrity,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/tv,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/arts,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/news/backspace/,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/news/movies/,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
/,Home,"CNN - Breaking News, Latest News and Videos"
/us,U.S.,"CNN - Breaking News, Latest News and Videos"
/specials/us/crime-and-justice,Crime + Justice,"CNN - Breaking News, Latest News and Videos"
/specials/us/energy-and-environment,Energy + Environment,"CNN - Breaking News, Latest News and Videos"
/specials/us/extreme-weather,Extreme Weather,"CNN - Breaking News, Latest News and Videos"
/specials/space-science,Space + Science,"CNN - Breaking News, Latest News and Videos"
/world,World,"CNN - Breaking News, Latest News and Videos"
/,"
      ","NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.washingtonpost.com/sports/,Sports," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/local/,Local," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/national/,National," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/world/,World," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/business/,Business," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.nytimes.com/section/realestate,Real Estate,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/world/middleeast/russia-syria-chemical-weapons-white-house.html,White House Accuses Russia of Cover-Up in Syria Attack,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/world/middleeast/russia-syria-chemical-weapons-white-house.html?hp&target=comments#commentsContainer,,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/interactive/2017/04/11/world/middleeast/document-Syria-Chemical-Weapons-Report-White-House.html,Read the Report,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/world/europe/russia-putin-trump.html,Trump’s Shift on Russia Brings Geopolitical Whiplash,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/world/asia/trump-china-trade-north-korea.html,Trump Links Trade to China’s Help on North Korea,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/us/politics/sean-spicer-hitler-gas-holocaust-center.html,Spicer’s Comparison of Hitler and Assad Raises an Outcry,"The New York Times - Breaking News, World News & Multimedia"
//foxbusiness.com,Business,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/entertainment.html,Entertainment,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/tech.html,Tech,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/science.html,Science,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/health.html,Health,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/travel.html,Travel,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.huffingtonpost.com/dept/lifestyle,"LIFESTYLE
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/healthy-living,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/travel,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/style,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/taste,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/huffpost-home,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
/africa,Africa,"CNN - Breaking News, Latest News and Videos"
/americas,Americas,"CNN - Breaking News, Latest News and Videos"
/asia,Asia,"CNN - Breaking News, Latest News and Videos"
/europe,Europe,"CNN - Breaking News, Latest News and Videos"
/nightly-news, Nightly News,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.msnbc.com,MSNBC,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/meet-the-press, Meet the Press,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/dateline, Dateline,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.today.com,Today,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.washingtonpost.com/business/technology/,Tech," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/lifestyle/,Lifestyle," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/entertainment/,Entertainment," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/posttv/,Video," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.nytimes.com/2017/04/11/us/politics/sean-spicer-hitler-gas-holocaust-center.html?hp&target=comments#commentsContainer,,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/video/us/politics/100000005038631/spicer-hitler-didnt-even-sink-to-using-chemical-weapons.html,"
    ,
","The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/business/united-airline-passenger-overbooked-flights.html,"United Apologizes, Saying Passenger Was ‘Mistreated’","The New York Times - Breaking News, World News & Multimedia"
/lifestyle.html,Lifestyle,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/world.html,World,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/shows.html,On Air,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/travel/2017/04/11/united-ceo-deeply-apologize-to-customer-dragged-off-flight.html,'TRULY HORRIFIC': United CEO issues strong apology for incident,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.huffingtonpost.com/topic/relationships,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/news/sleep--wellness/,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/dept/impact,"IMPACT
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/topic/reclaim,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
/middle-east,Middle East,"CNN - Breaking News, Latest News and Videos"
/politics,,"CNN - Breaking News, Latest News and Videos"
/specials/politics/president-donald-trump-45,45,"CNN - Breaking News, Latest News and Videos"
/specials/politics/congress-capitol-hill,Congress,"CNN - Breaking News, Latest News and Videos"
/specials/politics/us-security,Security,"CNN - Breaking News, Latest News and Videos"
/," , ","Home - BBC News,BBC News"
http://www.nbcnews.com/pages/search,,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
https://www.facebook.com/sharer/sharer.php?u=http://www.nbcnews.com%2F,"
                                      ,
                                  ","NBC News - Breaking News & Top Stories - Latest World, US & Local News"
https://twitter.com/intent/tweet?text=NBC%20News%20-%20Breaking%20News%20%26%20Top%20Stories%20-%20Latest%20World%2C%20US%20%26%20Local%20News&url=http://www.nbcnews.com%2F&via=nbcnews,"
                                      ,
                                  ","NBC News - Breaking News & Top Stories - Latest World, US & Local News"
"mailto:?subject=Check%20this%20out%20on%20NBCNews.com&body=Hi%20–%0A%0AWhen%20I%20saw%20this%20on%20NBCNews.com,%20I%20thought%20you'd%20find%20it%20interesting:%0ANBC%20News%20-%20Breaking%20News%20%26%20Top%20Stories%20-%20Latest%20World%2C%20US%20%26%20Local%20News%0Ahttp%3A%2F%2Fwww.nbcnews.com/%3Fcid%3Deml_onsite%0AIf%20you%20get%20a%20chance,%20let%20me%20know%20what%20you%20think%20of%20it.%20Thanks!","
                                      ,
                                  ","NBC News - Breaking News & Top Stories - Latest World, US & Local News"
https://jobs.washingtonpost.com/,Jobs," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/classifieds/,Classifieds," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/sf/brand-connect/brand-studio/,WP BrandStudio," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
#,," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://subscribe.washingtonpost.com/loginregistration/index.html," , "," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.nytimes.com/2017/04/11/business/united-airline-passenger-overbooked-flights.html?hp&target=comments#commentsContainer,,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/world/asia/united-airlines-passenger-dragged-china.html,"United Video Creates Furor in China, Too","The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/us/politics/white-house-easter-egg-roll-trump.html,Easter Egg Roll Is Latest Test for the White House,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/10/climate/trump-epa-budget-cuts.html,What’s at Stake in Trump’s Proposed E.P.A. Budget Cuts,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/business/tesla-stock-elon-musk.html,Tesla’s Market Surge Has Even Some of Its Fans Skeptical,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/tips,Got a confidential news tip?,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/tips,,"The New York Times - Breaking News, World News & Multimedia"
http://www.foxnews.com/travel/2017/04/11/united-ceo-deeply-apologize-to-customer-dragged-off-flight.html," ,
	",Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/travel/2017/04/11/bumped-from-flight-know-your-rights-before-fly.html,Bumped from a flight? Know your rights before you fly,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/opinion/2017/04/11/how-united-airlines-could-take-customer-service-lesson-from-delta.html,OPINION: How United could take a customer service lesson from Delta,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxbusiness.com/features/2017/04/11/horrifying-video-threatens-united-airlines-big-investment-in-china.html,'Horrifying' video threatens United's big Investment in China,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://video.foxnews.com/v/5393758579001/,VIDEO: What will United controversy mean for company's bottom line?,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/politics/2017/04/11/spicer-apologizes-for-hitler-comments-after-pelosi-calls-for-his-firing.html,"
		,
		, ,
		",Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.huffingtonpost.com/topic/project-zero,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://ryot.huffingtonpost.com/,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/good-news,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/dept/voices,"VOICES
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/black-voices,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
/specials/politics/supreme-court-nine,The Nine,"CNN - Breaking News, Latest News and Videos"
/specials/politics/trumpmerica,Trumpmerica,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com,,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/data/markets/,Markets,"CNN - Breaking News, Latest News and Videos"
#page,Skip to content,"Home - BBC News,BBC News"
/accessibility/,Accessibility Help,"Home - BBC News,BBC News"
https://www.bbc.com/account?ptrt=http%3A%2F%2Fwww.bbc.com%2Fnews," , ","Home - BBC News,BBC News"
#,"
        ,
        ,
        ,
        ,
    ","Home - BBC News,BBC News"
http://www.bbc.co.uk/news/,News,"Home - BBC News,BBC News"
http://www.bbc.com/news/,News,"Home - BBC News,BBC News"
/sport/,Sport,"Home - BBC News,BBC News"
/weather/,Weather,"Home - BBC News,BBC News"
/news/us-news,U.S.,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/news/world,World,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.nbcnews.com/news/us-news/nbc-affiliates-n19981,Local,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/politics,Politics,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/investigations,Investigations,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/health,Health,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
," , , "," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://subscribe.washingtonpost.com/acquisition/?nid=top_pb_subscribe&promo=digital04_header_default&oscode=RPWH&wpsrc=CM0000447&destination=http://www.washingtonpost.com/pb/regional/," , "," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.washingtonpost.com/,Home Page," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
/, U.S. & World ," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
/regional/, Regional ," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
http://www.washingtonpost.com/politics/,Politics," Washington Post: National, World & D.C. Area News and Headlines - The Washington Post"
https://www.nytimes.com/section/magazine,From the Magazine,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/magazine/i-thought-i-understood-the-american-right-trump-proved-me-wrong.html,,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/magazine/i-thought-i-understood-the-american-right-trump-proved-me-wrong.html,"I’m a Political Historian. ,I Didn’t See Trump Coming.","The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/magazine/i-thought-i-understood-the-american-right-trump-proved-me-wrong.html?hp&target=comments#commentsContainer,,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/briefing/united-airlines-sean-spicer.html,,"The New York Times - Breaking News, World News & Multimedia"
https://www.nytimes.com/2017/04/11/briefing/united-airlines-sean-spicer.html,Your Evening Briefing,"The New York Times - Breaking News, World News & Multimedia"
http://video.foxnews.com/v/5394558833001/,VIDEO: White House press secretary clarifies his Holocaust comment,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/politics/2017/04/11/tillerson-in-moscow-getting-in-line-with-haley-on-tough-syria-talk.html,"Tillerson in Moscow, getting in line with Haley on tough Syria talk",Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/politics/2017/04/11/tillerson-issues-ultimatum-to-russia-after-meeting-with-top-diplomats-at-g7-summit.html,Tillerson to Putin: Side with US or embrace Assad,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/world/2017/04/11/sarin-gas-used-in-syria-chemical-attack-turkish-health-minister-says.html,"Sarin gas used in Syria chemical attack, Turkish official says",Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/world/2017/04/11/syria-crisis-barrel-bombs-dropped-by-government-activists-say.html,"Barrel bombs dropped by Syria government, activists say",Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/politics/2017/04/11/dems-making-close-race-in-kansas-in-1st-congressional-contest-under-trump.html,"
		,
		, ,
		",Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.foxnews.com/politics/2017/04/11/shocker-in-wichita.html, A shocker in Wichita?,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
http://www.huffingtonpost.com/section/latino-voices,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/women,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/fifty,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/queer-voices,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/parents,"
",Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/section/video,"VIDEO
",Breaking News and Opinion on The Huffington Post | The Huffington Post
//money.cnn.com/technology/,Tech,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/media/,Media,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/pf/,Personal Finance,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/luxury/,Luxury,"CNN - Breaking News, Latest News and Videos"
/opinions,Opinion,"CNN - Breaking News, Latest News and Videos"
/specials/opinion/opinion-politics,Political Op-Eds,"CNN - Breaking News, Latest News and Videos"
/specials/opinion/opinion-social-issues,Social Commentary,"CNN - Breaking News, Latest News and Videos"
/health,Health,"CNN - Breaking News, Latest News and Videos"
http://shop.bbc.com/,Shop,"Home - BBC News,BBC News"
http://www.bbc.com/earth/,Earth,"Home - BBC News,BBC News"
http://www.bbc.com/travel/,Travel,"Home - BBC News,BBC News"
http://www.bbc.com/capital/,Capital,"Home - BBC News,BBC News"
/iplayer/,iPlayer,"Home - BBC News,BBC News"
http://www.bbc.com/culture/,Culture,"Home - BBC News,BBC News"
/mach,MACH,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
/tech,Tech,"NBC News - Breaking News & Top Stories - Latest World, US & Local News"
